Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalTotal
102,5.8,2.7,5.1,1.9,Iris-virginica,8.5
103,7.1,3.0,5.9,2.1,Iris-virginica,10.1
104,6.3,2.9,5.6,1.8,Iris-virginica,9.2
105,6.5,3.0,5.8,2.2,Iris-virginica,9.5
106,7.6,3.0,6.6,2.1,Iris-virginica,10.6
107,4.9,2.5,4.5,1.7,Iris-virginica,7.4
108,7.3,2.9,6.3,1.8,Iris-virginica,10.2
109,6.7,2.5,5.8,1.8,Iris-virginica,9.2
110,7.2,3.6,6.1,2.5,Iris-virginica,10.8
111,6.5,3.2,5.1,2.0,Iris-virginica,9.7
112,6.4,2.7,5.3,1.9,Iris-virginica,9.100000000000001
113,6.8,3.0,5.5,2.1,Iris-virginica,9.8
114,5.7,2.5,5.0,2.0,Iris-virginica,8.2
115,5.8,2.8,5.1,2.4,Iris-virginica,8.6
116,6.4,3.2,5.3,2.3,Iris-virginica,9.600000000000001
117,6.5,3.0,5.5,1.8,Iris-virginica,9.5
118,7.7,3.8,6.7,2.2,Iris-virginica,11.5
119,7.7,2.6,6.9,2.3,Iris-virginica,10.3
120,6.0,2.2,5.0,1.5,Iris-virginica,8.2
121,6.9,3.2,5.7,2.3,Iris-virginica,10.100000000000001
122,5.6,2.8,4.9,2.0,Iris-virginica,8.399999999999999
123,7.7,2.8,6.7,2.0,Iris-virginica,10.5
124,6.3,2.7,4.9,1.8,Iris-virginica,9.0
125,6.7,3.3,5.7,2.1,Iris-virginica,10.0
126,7.2,3.2,6.0,1.8,Iris-virginica,10.4
127,6.2,2.8,4.8,1.8,Iris-virginica,9.0
128,6.1,3.0,4.9,1.8,Iris-virginica,9.1
129,6.4,2.8,5.6,2.1,Iris-virginica,9.2
130,7.2,3.0,5.8,1.6,Iris-virginica,10.2
131,7.4,2.8,6.1,1.9,Iris-virginica,10.2
132,7.9,3.8,6.4,2.0,Iris-virginica,11.7
133,6.4,2.8,5.6,2.2,Iris-virginica,9.2
134,6.3,2.8,5.1,1.5,Iris-virginica,9.1
135,6.1,2.6,5.6,1.4,Iris-virginica,8.7
136,7.7,3.0,6.1,2.3,Iris-virginica,10.7
137,6.3,3.4,5.6,2.4,Iris-virginica,9.7
138,6.4,3.1,5.5,1.8,Iris-virginica,9.5
139,6.0,3.0,4.8,1.8,Iris-virginica,9.0
140,6.9,3.1,5.4,2.1,Iris-virginica,10.0
141,6.7,3.1,5.6,2.4,Iris-virginica,9.8
142,6.9,3.1,5.1,2.3,Iris-virginica,10.0
143,5.8,2.7,5.1,1.9,Iris-virginica,8.5
144,6.8,3.2,5.9,2.3,Iris-virginica,10.0
145,6.7,3.3,5.7,2.5,Iris-virginica,10.0
146,6.7,3.0,5.2,2.3,Iris-virginica,9.7
147,6.3,2.5,5.0,1.9,Iris-virginica,8.8
148,6.5,3.0,5.2,2.0,Iris-virginica,9.5
149,6.2,3.4,5.4,2.3,Iris-virginica,9.6
150,5.9,3.0,5.1,1.8,Iris-virginica,8.9
